#SampleID	Metaphlan2_Analysis
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-610	1
d__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__IMCC26256|f__PALSA-610|g__	2
d__Bacteria|p__Actinobacteriota|c__Actinomycetia	45
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Acidothermales	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Acidothermales|f__Acidothermaceae	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Acidothermales|f__Acidothermaceae|g__PALSA-607	2
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales	12
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Mycobacteriaceae	9
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium	18
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae	3
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae|g__	2
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Pseudonocardiaceae|g__GCA-003244245	4
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales	32
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae	32
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__	22
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__Palsa-504	8
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__Palsa-506	26
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__UBA9676	8
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia	40
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales	40
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__70-9	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__70-9|g__VAYN01	2
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae	39
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__	14
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Conexibacter	2
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Palsa-465	8
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Palsa-744	54
d__Bacteria|p__Bacteroidota	57
d__Bacteria|p__Bacteroidota|c__Bacteroidia	55
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__AKYH767	17
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__AKYH767-A	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__AKYH767-A|f__	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__AKYH767-A|f__|g__	2
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__AKYH767|f__B-17BO	8
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__AKYH767|f__B-17BO|g__	4
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__AKYH767|f__B-17BO|g__PALSA-968	10
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__AKYH767|f__B-17BO|g__UBA2475	2
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__AKYH767|f__Palsa-948	6
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__AKYH767|f__Palsa-948|g__	12
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__AKYH767|f__Palsa-965	3
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__AKYH767|f__Palsa-965|g__	6
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales	24
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae	23
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Dinghuibacter	2
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Ferruginibacter	6
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__UBA8621	38
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__LD1	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__LD1|g__Bog-950	2
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales	9
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__ELB16-189	2
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cytophagaceae	8
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cytophagaceae|g__	12
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cytophagaceae|g__Cytophaga	4
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales	4
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__Sphingobacteriaceae	4
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Mucilaginibacter	6
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter	2
d__Bacteria|p__Bacteroidota|c__Kapabacteria	2
d__Bacteria|p__Bacteroidota|c__Kapabacteria|o__Palsa-1295	2
d__Bacteria|p__Bacteroidota|c__Kapabacteria|o__Palsa-1295|f__Palsa-1295	2
d__Bacteria|p__Bacteroidota|c__Kapabacteria|o__Palsa-1295|f__Palsa-1295|g__PALSA-1295	2
d__Bacteria|p__Bacteroidota|c__Kapabacteria|o__Palsa-1295|f__Palsa-1295|g__PALSA-1296	2
d__Bacteria|p__Chloroflexota	2
d__Bacteria|p__Chloroflexota|c__Ellin6529	1
d__Bacteria|p__Chloroflexota|c__Ellin6529|o__CSP1-4	1
d__Bacteria|p__Chloroflexota|c__Ellin6529|o__CSP1-4|f__CSP1-4	1
d__Bacteria|p__Chloroflexota|c__Ellin6529|o__CSP1-4|f__CSP1-4|g__Palsa-1033	2
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria	1
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales	1
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales|f__Ktedonobacteraceae	1
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales|f__Ktedonobacteraceae|g__	2
d__Bacteria|p__Dependentiae	7
d__Bacteria|p__Dependentiae|c__Babeliae	7
d__Bacteria|p__Dependentiae|c__Babeliae|o__Babeliales	7
d__Bacteria|p__Dependentiae|c__Babeliae|o__Babeliales|f__	1
d__Bacteria|p__Dependentiae|c__Babeliae|o__Babeliales|f__|g__	2
d__Bacteria|p__Dependentiae|c__Babeliae|o__Babeliales|f__Vermiphilaceae	6
d__Bacteria|p__Dependentiae|c__Babeliae|o__Babeliales|f__Vermiphilaceae|g__	4
d__Bacteria|p__Dependentiae|c__Babeliae|o__Babeliales|f__Vermiphilaceae|g__SOIL31	8
d__Bacteria|p__Desulfobacterota_B	15
d__Bacteria|p__Desulfobacterota_B|c__Binatia	15
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__Binatales	15
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__Binatales|f__Binataceae	15
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__Binatales|f__Binataceae|g__	26
d__Bacteria|p__Desulfobacterota_B|c__Binatia|o__Binatales|f__Binataceae|g__Binatus	4
d__Bacteria|p__Dormibacterota	6
d__Bacteria|p__Dormibacterota|c__Dormibacteria	6
d__Bacteria|p__Dormibacterota|c__Dormibacteria|o__CF-121	1
d__Bacteria|p__Dormibacterota|c__Dormibacteria|o__CF-121|f__	1
d__Bacteria|p__Dormibacterota|c__Dormibacteria|o__CF-121|f__|g__	2
d__Bacteria|p__Dormibacterota|c__Dormibacteria|o__Dormibacterales	4
d__Bacteria|p__Dormibacterota|c__Dormibacteria|o__Dormibacterales|f__Dormibacteraceae	4
d__Bacteria|p__Dormibacterota|c__Dormibacteria|o__Dormibacterales|f__Dormibacteraceae|g__	4
d__Bacteria|p__Dormibacterota|c__Dormibacteria|o__Dormibacterales|f__Dormibacteraceae|g__CF-161	2
d__Bacteria|p__Dormibacterota|c__Dormibacteria|o__Dormibacterales|f__Dormibacteraceae|g__Palsa-872	2
d__Bacteria|p__Dormibacterota|c__Dormibacteria|o__UBA8260	1
d__Bacteria|p__Dormibacterota|c__Dormibacteria|o__UBA8260|f__UBA8260	1
d__Bacteria|p__Dormibacterota|c__Dormibacteria|o__UBA8260|f__UBA8260|g__	2
d__Bacteria|p__Eremiobacterota	12
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria	12
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Eremiobacterales	3
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Eremiobacterales|f__Eremiobacteraceae	3
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__Eremiobacterales|f__Eremiobacteraceae|g__	6
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__UBP12	9
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__UBP12|f__UBA5184	9
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__UBP12|f__UBA5184|g__	2
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__UBP12|f__UBA5184|g__Palsa-1483	10
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__UBP12|f__UBA5184|g__PALSA-1484	4
d__Bacteria|p__Eremiobacterota|c__Eremiobacteria|o__UBP12|f__UBA5184|g__PALSA-1529	2
d__Bacteria|p__FCPU426	4
d__Bacteria|p__FCPU426|c__	3
d__Bacteria|p__FCPU426|c__|o__	3
d__Bacteria|p__FCPU426|c__|o__|f__	3
d__Bacteria|p__FCPU426|c__|o__|f__|g__	6
d__Bacteria|p__FCPU426|c__Palsa-1180	1
d__Bacteria|p__FCPU426|c__Palsa-1180|o__Palsa-1180	1
d__Bacteria|p__FCPU426|c__Palsa-1180|o__Palsa-1180|f__Palsa-1180	1
d__Bacteria|p__FCPU426|c__Palsa-1180|o__Palsa-1180|f__Palsa-1180|g__	2
d__Bacteria|p__Gemmatimonadota	8
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes	8
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales	8
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae	6
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__	4
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Fen-1231	6
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Palsa-1248	2
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__GWC2-71-9	2
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__GWC2-71-9|g__	2
d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__GWC2-71-9|g__SPDF01	2
d__Bacteria|p__Myxococcota	33
d__Bacteria|p__Myxococcota|c__Myxococcia	1
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales	1
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__Myxococcaceae	1
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__Myxococcaceae|g__	2
d__Bacteria|p__Myxococcota|c__Polyangia	32
d__Bacteria|p__Myxococcota|c__Polyangia|o__Haliangiales	2
d__Bacteria|p__Myxococcota|c__Polyangia|o__Haliangiales|f__Haliangiaceae	2
d__Bacteria|p__Myxococcota|c__Polyangia|o__Haliangiales|f__Haliangiaceae|g__	4
d__Bacteria|p__Myxococcota|c__Polyangia|o__Palsa-1104	1
d__Bacteria|p__Myxococcota|c__Polyangia|o__Palsa-1104|f__Fen-1088	1
d__Bacteria|p__Myxococcota|c__Polyangia|o__Palsa-1104|f__Fen-1088|g__	2
d__Bacteria|p__Myxococcota|c__Polyangia|o__Polyangiales	29
d__Bacteria|p__Myxococcota|c__Polyangia|o__Polyangiales|f__Polyangiaceae	29
d__Bacteria|p__Myxococcota|c__Polyangia|o__Polyangiales|f__Polyangiaceae|g__	34
d__Bacteria|p__Myxococcota|c__Polyangia|o__Polyangiales|f__Polyangiaceae|g__Palsa-1150	12
d__Bacteria|p__Myxococcota|c__Polyangia|o__Polyangiales|f__Polyangiaceae|g__PALSA-1152	6
d__Bacteria|p__Myxococcota|c__Polyangia|o__Polyangiales|f__Polyangiaceae|g__PMG-095	6
d__Bacteria|p__Nitrospirota	1
d__Bacteria|p__Nitrospirota|c__Nitrospiria	1
d__Bacteria|p__Nitrospirota|c__Nitrospiria|o__	1
d__Bacteria|p__Nitrospirota|c__Nitrospiria|o__|f__	1
d__Bacteria|p__Nitrospirota|c__Nitrospiria|o__|f__|g__	2
d__Bacteria|p__Omnitrophota	2
d__Bacteria|p__Omnitrophota|c__Koll11	2
d__Bacteria|p__Omnitrophota|c__Koll11|o__UBA10015	2
d__Bacteria|p__Omnitrophota|c__Koll11|o__UBA10015|f__GCA-002753745	2
d__Bacteria|p__Omnitrophota|c__Koll11|o__UBA10015|f__GCA-002753745|g__	4
d__Bacteria|p__Patescibacteria	15
d__Bacteria|p__Patescibacteria|c__Doudnabacteria	2
d__Bacteria|p__Patescibacteria|c__Doudnabacteria|o__UBA920	2
d__Bacteria|p__Patescibacteria|c__Doudnabacteria|o__UBA920|f__O2-02-FULL-48-8	2
d__Bacteria|p__Patescibacteria|c__Doudnabacteria|o__UBA920|f__O2-02-FULL-48-8|g__2-01-FULL-45-18	4
d__Bacteria|p__Patescibacteria|c__Microgenomatia	3
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Levybacterales	3
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Levybacterales|f__UBA12049	3
d__Bacteria|p__Patescibacteria|c__Microgenomatia|o__Levybacterales|f__UBA12049|g__	6
d__Bacteria|p__Patescibacteria|c__Paceibacteria	7
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA6257	2
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA6257|f__2-01-FULL-56-20	2
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA6257|f__2-01-FULL-56-20|g__	4
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983	5
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983|f__UBA2163	3
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983|f__UBA2163|g__UBA10103	6
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983|f__UBA9973	2
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983|f__UBA9973|g__UBA4124	2
d__Bacteria|p__Patescibacteria|c__Paceibacteria|o__UBA9983|f__UBA9973|g__UBA9973	2
d__Bacteria|p__Patescibacteria|c__Saccharimonadia	3
d__Bacteria|p__Patescibacteria|c__Saccharimonadia|o__Saccharimonadales	3
